n,p0,phi0,delta,ARL0,ARL1,desv,grafico
200,0.01,0.9,1.2,370.4,183.0,-0.505939524838013,CUSUM
200,0.01,0.9,1.3,370.4,139.1,-0.6244600431965442,CUSUM
200,0.01,0.9,1.5,370.4,89.3,-0.7589092872570193,CUSUM
200,0.01,0.9,1.7,370.4,60.7,-0.8361231101511879,CUSUM
200,0.01,0.9,2,370.4,43.1,-0.8836393088552915,CUSUM
200,0.02,0.9,1.1,374.9379432327163,229.08404966755086,-0.389008091065984,CEWMA
200,0.02,0.9,1.2,374.9379432327163,151.28555942380774,-0.596505069293806,CEWMA
200,0.02,0.9,1.3,374.9379432327163,106.46917337479587,-0.716035212502585,CEWMA
200,0.02,0.9,1.5,374.9379432327163,61.110233215216866,-0.837012406137601,CEWMA
200,0.02,0.9,1.7,374.9379432327163,40.48577685137993,-0.892020059366861,CEWMA
200,0.02,0.9,2,374.9379432327163,26.033408312719313,-0.930566087581696,CEWMA
200,0.02,0.9,1.1,370.4,236.1,-0.3625809935205183,CUSUM
200,0.02,0.9,1.2,370.4,163.8,-0.5577753779697624,CUSUM
200,0.02,0.9,1.3,370.4,121.1,-0.6730561555075594,CUSUM
200,0.02,0.9,1.5,370.4,75.9,-0.795086393088553,CUSUM
200,0.02,0.9,1.7,370.4,53.9,-0.8544816414686826,CUSUM
200,0.02,0.9,2,370.4,37.4,-0.8990280777537798,CUSUM
200,0.05,0.9,1.1,371.55299026821854,179.19240354854946,-0.517720464531336,CEWMA
200,0.05,0.9,1.2,371.55299026821854,99.69819332661903,-0.731671670157604,CEWMA
200,0.05,0.9,1.3,371.55299026821854,62.26589505925652,-0.83241718761486,CEWMA
200,0.05,0.9,1.5,371.55299026821854,31.455567165524478,-0.915340293337924,CEWMA
200,0.05,0.9,1.7,371.55299026821854,20.137583409663733,-0.945801584330873,CEWMA
200,0.05,0.9,2,371.55299026821854,13.54072084799457,-0.963556420745746,CEWMA
200,0.05,0.9,1.1,367.4,184.8,-0.497005988023952,CUSUM
200,0.05,0.9,1.2,367.4,106.4,-0.7103973870440937,CUSUM
200,0.05,0.9,1.3,367.4,67.8,-0.8154599891126837,CUSUM
200,0.05,0.9,1.5,367.4,34.2,-0.9069134458356015,CUSUM
